L.p;Wnioskodawca ;"Przewozy kolejowe osób
numer licencji";"Przewozy kolejowe osób 
status ";"Przewozy kolejowe rzeczy
numer licencji";"Przewozy kolejowe rzeczy
status";"Œwiadczenie us³ug trakcyjnych
numer licencji";"Œwiadczenie us³ug trakcyjnych
status"
112;Tabor Rail sp. z o.o.;;;L/077/2019;aktywna;L/077/2019;aktywna
113;TDK Plus sp. z o.o.;;;L/098/2021;aktywna;L/098/2021;aktywna
114;Tkol sp. z o.o.;;;L/059/2018;aktywna;L/059/2018;aktywna
115;TKP Silesia sp. z o.o. sp.k.;;;L/039/2017;aktywna;L/039/2017;aktywna
116;Torpol S.A.;;;WPR/097/2005;aktywna;;
117;TRACK TEC Logistics sp. z o.o.;;;WPR/248/2014;aktywna;UPT/249/2014;aktywna
118;Track Tec Rail sp. z o.o.;;;L/012/2016;aktywna;L/012/2016;aktywna
119;Trainspeed sp. z o.o.;;;L/021/2016;aktywna;L/021/2016;aktywna
120;TRAKCJA S.A.  ;;;L/097/2020;aktywna;L/097/2020;aktywna
121;Transchem sp. z o.o.;;;WPR/145/2007;aktywna;UPT/146/2007;aktywna
122;T&C Sp.  z o.o.;;;L/081/2020;aktywna;L/081/2020;aktywna
123;Warszawska Kolej Dojazdowa sp. z o.o.  ;WPO/043/2004;aktywna;WPR/042/2004;aktywna;;
124;Wiskol 1 sp. z o.o. ;;;L/014/2016;aktywna;L/014/2016;aktywna
125;Zak³ad In¿ynierii Kolejowej sp. z o.o. ;;;L/046/2017;aktywna;;
126;Zak³ad Robót Komunikacyjnych – DOM w Poznaniu sp. z o.o.;;;WPR/159/2008;aktywna;;
127;ZUE S.A.;;;WPR/057/2004;aktywna;UPT/058/2004;aktywna
